Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,7975,7880,8080,8010,8160,8225,8230,8305,8310,8285
Mainly Rural,57395,57185,58650,58635,60255,61065,61610,61615,61440,61945
Urban with Substantial Rural areas,51270,50705,52430,52360,54790,56280,58005,59425,59335,60020
Larger Cities,41975,42130,43980,44590,46890,48340,49755,50665,50845,52190
