Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,0.61,0.62,0.62,0.62,0.61,0.60,0.59,0.60,0.60,0.61
Mainly Rural,0.50,0.50,0.51,0.50,0.51,0.51,0.50,0.50,0.50,0.50
Urban with Substantial Rural areas,0.35,0.35,0.35,0.36,0.36,0.37,0.36,0.36,0.36,0.36
Larger Cities,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.27
