Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Islands & Remote Rural,345,410,340,350,290,250,245,310,335,395,365,300
Mainly Rural,2875,3445,3085,3705,3110,2630,2455,3090,3135,3770,3555,3240
Urban with Substantial Rural areas,3265,3760,3545,4195,3565,3265,3140,3670,3695,4665,4630,4430
Larger Cities,2760,3230,2940,3630,2970,2710,3025,3560,3615,4550,4275,4100
