Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,30,30,30,30,30,35,35,30,45,45
Mainly Rural,195,190,220,240,230,250,265,280,300,345
Urban with Substantial Rural areas,375,385,385,410,420,430,430,440,465,510
Larger Cities,460,480,495,490,525,545,570,590,625,685
