Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,102669,101589,101466,102231,102376,102411,102111,101667,101285,100176,99872,99809,100019,100246,100430,101438,101583,100914,100693,100291,100620,97828,98485,97360,96421,96221,95384,94595,93743
Mainly Rural,862767,870257,875229,880198,882476,881675,881129,881005,881357,880342,880529,885269,891778,901590,909909,919414,929863,938501,940690,944907,947488,940673,937298,935048,934309,931804,928060,922901,919719
Urban with Substantial Rural areas,1381114,1378061,1376324,1376446,1376447,1373977,1375770,1376030,1376186,1377591,1379193,1384550,1389027,1395638,1402272,1408463,1416637,1421686,1423229,1426127,1430919,1422748,1416618,1413048,1413204,1415965,1417563,1414900,1414199
Larger Cities,945383,939732,936371,933540,931805,930127,925289,923200,922654,920583,927051,925723,923040,923821,933230,939678,952241,962397,976486,990833,1008406,1011984,1016822,1022653,1033806,1045941,1053784,1060088,1070097
