Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,77900,77800,80400,80600,80100,78000,76200,74500,74100,77400,79400,78500,80200,78200,79100,77500
Mainly Rural,688900,691400,711400,721100,727000,723400,718600,709300,710100,715900,727300,738500,722200,738000,728900,745700
Urban with Substantial Rural areas,1027700,1027000,1049300,1054000,1047400,1028500,1016000,1011500,1023800,1020900,1052000,1045300,1068300,1073000,1082300,1074500
Larger Cities,635400,657500,658800,672500,679600,667900,669000,680800,673800,681200,700000,720500,725500,749700,748100,766300
