Area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Islands & Remote Rural,89000,88000,85000,83000,83000,85000,84000,85000,84000,85000
Mainly Rural,622000,606000,625000,604000,618000,636000,635000,639000,634000,641000
Urban with Substantial Rural areas,838000,810000,811000,794000,814000,842000,851000,857000,862000,865000
Larger Cities,995000,952000,970000,967000,966000,998000,994000,1005000,992000,1021000
