Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,0.782,0.782,0.795,0.795,0.783,0.762,0.747,0.721,0.733,0.765,0.792,0.793,0.806,0.793,0.793,0.781
Mainly Rural,0.756,0.755,0.765,0.766,0.766,0.759,0.75,0.737,0.739,0.742,0.752,0.766,0.749,0.771,0.763,0.777
Urban with Substantial Rural areas,0.73,0.727,0.739,0.738,0.732,0.715,0.704,0.701,0.709,0.706,0.729,0.726,0.739,0.746,0.75,0.749
Larger Cities,0.686,0.703,0.701,0.707,0.705,0.684,0.676,0.679,0.667,0.674,0.69,0.7,0.692,0.707,0.703,0.719
