Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Islands & Remote Rural,3400,3100,3200,3500,3600,2900,3900,3700,3900,4200,4300,4000,4000,4100,4600,4600
Mainly Rural,26500,25200,27300,29300,31100,29800,31300,32900,33000,34400,37000,36600,38700,42100,38300,37200
Urban with Substantial Rural areas,21800,25800,27500,25400,25700,28200,29400,28700,31800,33600,37000,37300,39100,34300,36900,40000
Larger Cities,14500,14700,15900,17800,20400,21800,19400,18800,25400,22100,23500,24800,31900,30100,23100,35100
