Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.04,0.04,0.04,0.05,0.05,0.03,0.04,0.05,0.06,0.04,0.05,0.04,0.1,0.09,0.08,0.089
Aberdeenshire,0.09,0.07,0.08,0.07,0.09,0.09,0.1,0.1,0.08,0.07,0.1,0.08,0.09,0.14,0.11,0.079
Angus,0.07,0.09,0.08,0.09,0.09,0.09,0.1,0.1,0.08,0.09,0.11,0.12,0.13,0.12,0.1,0.11
Argyll and Bute,0.11,0.09,0.09,0.1,0.1,0.11,0.1,0.11,0.11,0.13,0.14,0.12,0.12,0.13,0.16,0.156
City of Edinburgh,0.06,0.07,0.07,0.07,0.08,0.08,0.1,0.08,0.09,0.1,0.09,0.1,0.13,0.08,0.08,0.118
Clackmannanshire,0.05,0.04,0.07,0.09,0.07,0.07,0.06,0.06,0.11,0.08,0.1,0.06,0.11,0.06,0.05,0.096
Dumfries and Galloway,0.08,0.07,0.09,0.09,0.1,0.07,0.07,0.09,0.11,0.12,0.12,0.13,0.13,0.14,0.17,0.116
Dundee City,0.03,0.03,0.04,0.05,0.06,0.06,0.04,0.05,0.06,0.04,0.04,0.05,0.07,0.11,0.07,0.097
East Ayrshire,0.05,0.03,0.05,0.07,0.08,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.09,0.11,0.06,0.086
East Dunbartonshire,0.05,0.06,0.06,0.05,0.07,0.1,0.07,0.08,0.08,0.1,0.09,0.1,0.11,0.09,0.1,0.1
East Lothian,0.09,0.08,0.09,0.1,0.09,0.08,0.09,0.11,0.1,0.12,0.13,0.12,0.09,0.13,0.1,0.063
East Renfrewshire,0.09,0.06,0.05,0.07,0.07,0.07,0.06,0.09,0.07,0.1,0.1,0.09,0.1,0.11,0.08,0.087
Falkirk,0.05,0.05,0.05,0.04,0.04,0.05,0.06,0.05,0.05,0.07,0.08,0.07,0.08,0.08,0.05,0.086
Fife,0.05,0.07,0.08,0.06,0.06,0.07,0.05,0.06,0.06,0.06,0.11,0.08,0.07,0.07,0.07,0.089
Glasgow City,0.04,0.03,0.04,0.05,0.06,0.07,0.04,0.05,0.08,0.06,0.07,0.06,0.06,0.07,0.04,0.072
Highland,0.11,0.11,0.09,0.09,0.1,0.09,0.1,0.11,0.12,0.13,0.12,0.1,0.11,0.1,0.1,0.079
Inverclyde,0.02,0.03,0.04,0.04,0.03,0.05,0.05,0.06,0.06,0.05,0.04,0.09,0.07,0.05,0.05,0.029
Midlothian,0.03,0.05,0.06,0.08,0.06,0.08,0.07,0.05,0.07,0.09,0.1,0.09,0.09,0.05,0.06,0.082
Moray,0.11,0.11,0.1,0.11,0.12,0.11,0.1,0.08,0.1,0.1,0.1,0.11,0.12,0.15,0.16,0.124
Na h-Eileanan Siar,0.05,0.04,0.08,0.1,0.1,0.03,0.16,0.09,0.12,0.13,0.1,0.12,0.08,0.04,0.09,0.093
North Ayrshire,0.03,0.05,0.04,0.05,0.04,0.05,0.07,0.08,0.08,0.1,0.08,0.09,0.1,0.09,0.09,0.065
North Lanarkshire,0.03,0.04,0.05,0.05,0.07,0.04,0.04,0.04,0.05,0.07,0.05,0.05,0.06,0.04,0.05,0.04
Orkney Islands,0.1,0.15,0.1,0.1,0.08,0.05,0.11,0.14,0.13,0.15,0.16,0.11,0.15,0.16,0.12,0.142
Perth and Kinross,0.08,0.07,0.09,0.09,0.08,0.1,0.09,0.11,0.1,0.12,0.12,0.14,0.14,0.11,0.12,0.171
Renfrewshire,0.04,0.04,0.03,0.03,0.02,0.04,0.06,0.05,0.05,0.06,0.05,0.06,0.05,0.06,0.07,0.057
Scottish Borders,0.08,0.08,0.08,0.1,0.11,0.11,0.13,0.15,0.13,0.14,0.12,0.15,0.14,0.12,0.12,0.161
Shetland Islands,0.1,0.06,0.08,0.07,0.11,0.08,0.11,0.07,0.08,,,0.06,0.06,0.07,,0.054
South Ayrshire,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.08,0.11,0.1,0.106
South Lanarkshire,0.05,0.06,0.06,0.04,0.06,0.05,0.06,0.06,0.07,0.05,0.06,0.09,0.09,0.05,0.09,0.095
Stirling,0.09,0.11,0.08,0.1,0.05,0.07,0.1,0.11,0.12,0.1,0.08,0.07,0.1,0.11,0.08,0.081
West Dunbartonshire,0.03,0.02,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.03,0.052
West Lothian,0.04,0.04,0.05,0.05,0.04,0.06,0.08,0.05,0.08,0.05,0.05,0.04,0.05,0.08,0.09,0.095
