Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,2100,1900,2200,2600,2700,1700,2500,2500,3500,2400,3000,2300,5500,5300,4400,5300
Aberdeenshire,4800,3900,4800,4200,5400,5500,6200,6200,4900,3900,6100,4900,5900,8800,6600,5200
Angus,1800,2100,2200,2300,2300,2400,2500,2500,2200,2300,2700,3000,3500,3200,2800,2800
Argyll and Bute,2100,1700,1800,2000,1900,2000,1900,2000,2100,2500,2700,2300,2300,2500,3100,3000
City of Edinburgh,6800,8500,8300,7400,8600,9700,11000,9200,10700,11300,10600,12900,15500,10900,10600,15600
Clackmannanshire,,,700,1000,700,700,700,600,1100,800,1000,700,1200,700,600,1100
Dumfries and Galloway,2600,2500,3100,3100,3400,2400,2500,2700,3600,3900,3800,4500,4200,4700,5400,3800
Dundee City,900,1100,1200,1600,1800,1800,1400,1400,1900,1200,1100,1600,2500,3800,2200,3200
East Ayrshire,1300,700,1200,1900,2100,1600,1700,1500,1500,1700,2000,1500,2200,2900,1600,2400
East Dunbartonshire,1200,1500,1500,1300,1600,2400,1700,1900,2000,2600,2200,2400,2700,2200,2500,2700
East Lothian,1900,1800,2000,2200,2000,1800,2000,2400,2300,2800,3100,2800,2100,3200,2600,1600
East Renfrewshire,1800,1400,1100,1500,1400,1400,1100,1800,1500,2000,2200,1900,2200,2400,1800,1900
Falkirk,1700,1600,1800,1400,1400,1900,2100,1600,1800,2600,2700,2800,2900,3200,1700,3300
Fife,4100,5700,6400,4700,4700,5300,4500,5000,4800,5100,9000,6600,6400,5600,5600,7600
Glasgow City,4700,3100,4200,6300,7200,8600,4500,5600,9200,7300,8800,8000,8400,10200,5900,11000
Highland,5500,5800,4900,5000,5300,4900,5700,5900,6500,7000,6400,5700,6300,5900,6000,4300
Inverclyde,,500,800,700,500,800,1000,1000,1100,800,800,1700,1200,900,1000,500
Midlothian,600,900,1100,1600,1200,1600,1300,1100,1400,1700,2200,1800,1900,1100,1300,2000
Moray,2200,2100,2000,2300,2500,2300,2200,1700,2100,2200,2200,2300,2500,3200,3100,2500
Na h-Eileanan Siar,,,,600,600,,800,500,700,700,600,800,,,500,600
North Ayrshire,900,1500,1300,1400,1100,1300,1800,2000,2000,2500,2400,2200,2700,2300,2500,1800
North Lanarkshire,2200,2900,3300,3700,5100,3200,3200,3100,4000,5000,3900,3900,5100,3100,4100,3400
Orkney Islands,,800,500,500,,,600,800,600,800,900,600,900,900,700,800
Perth and Kinross,2200,2200,2700,3000,2800,3300,2700,3400,3300,3800,3900,5000,5200,3700,4200,6400
Renfrewshire,1500,1600,1100,1100,900,1600,2500,1900,1900,2200,1900,2600,2200,2800,3100,2500
Scottish Borders,1900,1900,1900,2600,2900,2900,3100,3800,3200,3500,3400,3800,3600,3100,3000,4300
Shetland Islands,500,,,,700,,700,,,,,,,,,
South Ayrshire,1800,1600,1700,1700,1800,1900,2000,2200,2300,2400,2300,2400,2100,2700,2400,2600
South Lanarkshire,3400,4300,4600,3300,4100,3700,4100,4500,5500,3800,4700,7300,6800,4100,6900,7200
Stirling,1800,2200,1600,1900,1000,1300,2000,2100,2100,2200,1800,1500,2100,2400,1800,1900
West Dunbartonshire,500,,600,800,800,900,1000,800,700,800,1100,800,900,800,600,1200
West Lothian,1600,1500,2200,1900,1700,2600,3000,2000,3100,2100,2200,1800,2100,3600,3900,4300
