Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.026,0.025,0.025,0.026,0.027,0.027,0.026,0.029,0.027,0.028,0.029,0.029,0.034,0.032,0.035,0.031
Aberdeenshire,0.025,0.025,0.023,0.024,0.023,0.025,0.025,0.027,0.028,0.03,0.028,0.03,0.034,0.03,0.032,0.032
Angus,0.026,0.024,0.023,0.023,0.024,0.027,0.029,0.031,0.03,0.03,0.033,0.033,0.031,0.03,0.029,0.03
Argyll and Bute,0.027,0.026,0.025,0.025,0.026,0.028,0.027,0.03,0.031,0.029,0.028,0.031,0.03,0.029,0.032,0.033
City of Edinburgh,0.026,0.026,0.025,0.026,0.027,0.026,0.028,0.027,0.028,0.03,0.029,0.032,0.035,0.034,0.029,0.03
Clackmannanshire,0.04,0.041,0.043,0.048,0.047,0.049,0.045,0.056,0.056,0.051,0.052,0.043,0.046,0.044,0.041,0.041
Dumfries and Galloway,0.024,0.024,0.024,0.027,0.029,0.028,0.029,0.032,0.03,0.028,0.027,0.026,0.029,0.029,0.034,0.035
Dundee City,0.026,0.025,0.025,0.025,0.027,0.028,0.028,0.03,0.029,0.03,0.031,0.032,0.033,0.032,0.032,0.032
East Ayrshire,0.025,0.025,0.026,0.026,0.027,0.028,0.029,0.031,0.031,0.03,0.031,0.032,0.035,0.032,0.035,0.035
East Dunbartonshire,0.023,0.022,0.023,0.025,0.026,0.029,0.028,0.031,0.03,0.029,0.033,0.03,0.031,0.03,0.029,0.027
East Lothian,0.026,0.025,0.025,0.025,0.026,0.028,0.029,0.032,0.032,0.03,0.032,0.031,0.035,0.032,0.029,0.033
East Renfrewshire,0.026,0.026,0.026,0.025,0.026,0.028,0.028,0.031,0.031,0.031,0.03,0.032,0.032,0.034,0.035,0.035
Falkirk,0.026,0.025,0.024,0.026,0.025,0.027,0.027,0.029,0.028,0.027,0.027,0.028,0.03,0.03,0.03,0.033
Fife,0.025,0.025,0.026,0.027,0.028,0.029,0.029,0.028,0.029,0.03,0.029,0.032,0.034,0.035,0.032,0.032
Glasgow City,0.027,0.027,0.026,0.025,0.025,0.025,0.025,0.028,0.031,0.032,0.033,0.033,0.032,0.031,0.032,0.029
Highland,0.024,0.026,0.029,0.029,0.026,0.025,0.024,0.026,0.029,0.032,0.03,0.029,0.035,0.031,0.034,0.04
Inverclyde,0.028,0.027,0.028,0.029,0.03,0.033,0.033,0.031,0.033,0.032,0.032,0.035,0.032,0.034,0.034,0.037
Midlothian,0.027,0.028,0.029,0.028,0.03,0.031,0.031,0.033,0.033,0.034,0.034,0.035,0.04,0.034,0.032,0.032
Moray,0.027,0.023,0.022,0.022,0.022,0.026,0.028,0.029,0.027,0.026,0.027,0.031,0.033,0.032,0.034,0.034
Na h-Eileanan Siar,0.052,0.048,0.052,0.05,0.06,0.074,0.076,0.073,0.06,0.054,0.052,0.051,0.05,0.042,0.042,0.043
North Ayrshire,0.025,0.024,0.026,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.029,0.033,0.035,0.033,0.034,0.035
North Lanarkshire,0.025,0.025,0.025,0.026,0.029,0.028,0.028,0.028,0.027,0.028,0.028,0.029,0.03,0.032,0.032,0.031
Orkney Islands,0.043,0.047,0.052,0.052,0.05,0.045,0.048,0.053,0.057,0.06,0.052,0.059,0.058,0.053,0.055,0.066
Perth and Kinross,0.026,0.025,0.023,0.024,0.024,0.025,0.026,0.026,0.027,0.028,0.029,0.029,0.034,0.033,0.03,0.029
Renfrewshire,0.025,0.024,0.025,0.025,0.025,0.027,0.027,0.031,0.03,0.03,0.029,0.029,0.03,0.03,0.034,0.032
Scottish Borders,0.023,0.024,0.025,0.024,0.026,0.027,0.028,0.029,0.029,0.027,0.027,0.03,0.033,0.033,0.034,0.033
Shetland Islands,0.044,0.043,0.045,0.043,0.04,0.042,0.039,0.048,0.062,0.063,0.068,0.055,0.059,0.069,0.08,0.098
South Ayrshire,0.026,0.025,0.026,0.025,0.026,0.026,0.028,0.03,0.031,0.031,0.031,0.03,0.032,0.032,0.037,0.036
South Lanarkshire,0.025,0.026,0.025,0.024,0.026,0.026,0.026,0.028,0.027,0.029,0.027,0.027,0.029,0.03,0.032,0.033
Stirling,0.027,0.028,0.029,0.03,0.033,0.033,0.032,0.035,0.035,0.033,0.033,0.033,0.033,0.034,0.033,0.033
West Dunbartonshire,0.025,0.024,0.025,0.025,0.028,0.029,0.029,0.03,0.03,0.03,0.032,0.033,0.034,0.033,0.031,0.03
West Lothian,0.025,0.026,0.025,0.026,0.026,0.028,0.029,0.03,0.029,0.029,0.027,0.029,0.03,0.031,0.03,0.031
