Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.019,0.018,0.018,0.017,0.018,0.016,0.018,0.019,0.02,0.021,0.02,0.021,0.026,0.027,0.027,0.026
Aberdeenshire,0.024,0.023,0.022,0.022,0.022,0.023,0.026,0.027,0.027,0.027,0.026,0.028,0.031,0.032,0.031,0.03
Angus,0.022,0.021,0.021,0.021,0.023,0.025,0.025,0.027,0.025,0.028,0.03,0.028,0.03,0.028,0.025,0.028
Argyll and Bute,0.027,0.025,0.025,0.025,0.025,0.026,0.027,0.027,0.031,0.029,0.028,0.03,0.03,0.029,0.034,0.034
City of Edinburgh,0.022,0.021,0.021,0.022,0.022,0.022,0.023,0.022,0.024,0.026,0.022,0.027,0.03,0.027,0.023,0.027
Clackmannanshire,0.031,0.03,0.033,0.036,0.032,0.036,0.034,0.043,0.049,0.04,0.041,0.03,0.034,0.032,0.031,0.03
Dumfries and Galloway,0.022,0.023,0.024,0.026,0.028,0.027,0.028,0.031,0.03,0.029,0.028,0.026,0.03,0.031,0.036,0.035
Dundee City,0.016,0.016,0.018,0.017,0.02,0.021,0.02,0.02,0.019,0.018,0.022,0.023,0.025,0.027,0.024,0.027
East Ayrshire,0.019,0.018,0.02,0.021,0.022,0.022,0.022,0.024,0.025,0.024,0.025,0.026,0.03,0.03,0.029,0.032
East Dunbartonshire,0.02,0.019,0.019,0.02,0.023,0.027,0.025,0.028,0.028,0.027,0.029,0.025,0.028,0.026,0.025,0.023
East Lothian,0.023,0.023,0.023,0.023,0.023,0.023,0.025,0.029,0.03,0.028,0.032,0.03,0.03,0.03,0.029,0.027
East Renfrewshire,0.024,0.023,0.022,0.023,0.023,0.024,0.024,0.027,0.027,0.026,0.026,0.028,0.029,0.032,0.03,0.03
Falkirk,0.019,0.018,0.017,0.019,0.018,0.02,0.02,0.022,0.02,0.021,0.022,0.022,0.024,0.024,0.022,0.024
Fife,0.018,0.018,0.02,0.02,0.018,0.021,0.02,0.022,0.023,0.021,0.023,0.025,0.028,0.024,0.026,0.027
Glasgow City,0.018,0.018,0.019,0.018,0.019,0.019,0.017,0.022,0.026,0.023,0.028,0.027,0.026,0.028,0.025,0.024
Highland,0.024,0.025,0.028,0.027,0.024,0.023,0.023,0.025,0.028,0.03,0.029,0.027,0.032,0.028,0.031,0.035
Inverclyde,0.019,0.018,0.021,0.02,0.02,0.022,0.024,0.024,0.026,0.022,0.023,0.028,0.025,0.025,0.025,0.025
Midlothian,0.021,0.023,0.023,0.023,0.024,0.027,0.026,0.028,0.03,0.031,0.033,0.033,0.036,0.027,0.028,0.028
Moray,0.023,0.022,0.02,0.019,0.022,0.023,0.026,0.026,0.024,0.023,0.023,0.025,0.031,0.029,0.033,0.031
Na h-Eileanan Siar,0.043,0.043,0.045,0.048,0.054,0.059,0.067,0.068,0.054,0.051,0.046,0.049,0.045,0.036,0.042,0.041
North Ayrshire,0.018,0.018,0.019,0.019,0.02,0.02,0.023,0.026,0.023,0.027,0.024,0.028,0.031,0.027,0.026,0.026
North Lanarkshire,0.016,0.016,0.018,0.021,0.024,0.02,0.02,0.021,0.02,0.02,0.021,0.021,0.023,0.023,0.026,0.021
Orkney Islands,0.046,0.054,0.06,0.064,0.051,0.047,0.049,0.054,0.058,0.065,0.063,0.068,0.062,0.069,0.063,0.073
Perth and Kinross,0.023,0.021,0.021,0.023,0.022,0.023,0.023,0.024,0.024,0.025,0.027,0.028,0.034,0.03,0.029,0.033
Renfrewshire,0.017,0.016,0.016,0.017,0.016,0.018,0.021,0.025,0.023,0.024,0.022,0.022,0.022,0.026,0.025,0.024
Scottish Borders,0.023,0.023,0.023,0.024,0.026,0.027,0.027,0.028,0.029,0.028,0.027,0.03,0.034,0.034,0.034,0.035
Shetland Islands,0.044,0.043,0.044,0.044,0.042,0.041,0.04,0.045,0.053,0.058,0.055,0.055,0.052,0.06,0.073,
South Ayrshire,0.022,0.02,0.022,0.021,0.022,0.024,0.025,0.027,0.027,0.027,0.027,0.026,0.027,0.029,0.032,0.033
South Lanarkshire,0.019,0.02,0.02,0.018,0.02,0.02,0.02,0.022,0.023,0.022,0.022,0.022,0.026,0.025,0.03,0.029
Stirling,0.025,0.025,0.025,0.027,0.029,0.029,0.029,0.031,0.034,0.029,0.028,0.026,0.03,0.03,0.028,0.028
West Dunbartonshire,0.016,0.015,0.017,0.017,0.019,0.021,0.021,0.021,0.018,0.019,0.023,0.021,0.021,0.023,0.02,0.022
West Lothian,0.018,0.018,0.018,0.019,0.018,0.02,0.021,0.021,0.022,0.02,0.02,0.019,0.023,0.025,0.027,0.026
