Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,5800,5400,5000,4500,4400,5100,6500,7300,6500,6000,5700,5900,6400,5300,6400,4100
Aberdeenshire,4100,4000,4000,3300,3300,3800,5000,5600,4600,4600,4200,3900,5300,4100,4000,3300
Angus,2500,2600,2900,2600,2500,3100,3800,4000,3600,3400,2900,2700,2400,2400,2100,1800
Argyll and Bute,1900,1900,1800,1800,1900,2500,2700,3000,2600,2500,2200,1900,1600,1200,1200,1200
City of Edinburgh,12600,12600,12700,10700,11300,15700,16000,17900,17300,18300,14900,14500,11300,9000,11800,7200
Clackmannanshire,1400,1300,1300,1300,1300,2100,2100,2500,2400,2400,1900,1500,1300,1200,1100,800
Dumfries and Galloway,3000,3100,3300,3100,3400,4100,4400,5600,5800,5300,4100,3400,3000,2100,2100,2200
Dundee City,5800,5000,4900,4700,4600,6500,6900,7200,7700,7900,6300,6100,4800,3400,4600,3800
East Ayrshire,3800,4000,3700,3700,3700,5800,5600,6500,6700,6800,5300,4500,3500,3400,3300,2700
East Dunbartonshire,1800,2000,2200,1700,2100,3100,3200,3200,3200,2700,2300,2300,1800,1700,1700,1400
East Lothian,1800,1700,1600,1700,1700,2600,3400,3700,3300,3200,2800,2600,2200,2200,1900,1500
East Renfrewshire,1700,1700,1600,1500,1500,2400,2700,2600,2600,2900,2100,1900,1600,1400,1500,1200
Falkirk,3900,4000,4300,3700,3600,5700,6200,7000,6600,6300,5200,4700,3700,3500,3100,3000
Fife,10100,10400,10800,10300,10600,14800,15900,16500,16800,16300,12000,11900,8900,7400,8400,7300
Glasgow City,21300,21900,20800,18800,19800,29100,33700,33600,33300,30900,27400,26800,19700,17200,17800,14500
Highland,4500,4500,4400,3800,4000,5300,5700,6600,6000,6300,5200,4600,4400,4300,3700,3300
Inverclyde,2900,2800,2700,2800,2500,3600,3400,4400,4600,3100,2900,2800,2100,2200,2000,1700
Midlothian,1600,1900,2000,1800,1800,2700,3100,3300,2900,2800,2600,2100,1800,1500,1700,1300
Moray,1700,1800,1900,1600,1900,2200,2300,2600,2300,2400,2200,1900,2000,1800,1700,1600
Na h-Eileanan Siar,700,700,700,600,600,800,800,900,800,900,700,600,500,400,300,300
North Ayrshire,5200,4500,5000,4200,4800,6800,7500,8000,7900,8200,5500,5800,4700,4000,3600,3300
North Lanarkshire,9800,10000,9500,8900,9500,14800,17700,18100,19600,17900,12900,12100,8500,7900,7800,7100
Orkney Islands,300,300,400,300,300,300,400,500,400,400,400,300,300,300,200,200
Perth and Kinross,2400,2500,2600,2400,2500,2900,3800,4100,4400,4100,3300,2900,2600,2200,2300,1900
Renfrewshire,4500,4600,4200,4400,4800,6800,7600,8600,8000,7200,6200,5600,4500,3900,4300,3400
Scottish Borders,1800,2000,2200,1800,2100,2900,3300,3400,3300,3000,2700,2400,2400,1900,1700,1700
Shetland Islands,400,400,500,300,300,400,500,500,400,400,400,300,400,300,300,300
South Ayrshire,3200,3000,3000,2800,2800,4100,4700,5100,5100,4200,3700,3300,2600,2300,2200,1900
South Lanarkshire,7500,7900,7500,6700,7000,11800,12400,13500,11600,14100,10300,9200,7500,6300,6800,5100
Stirling,2000,1900,2000,1700,2000,3100,3100,3100,3500,3400,2500,2400,2000,1800,1800,1800
West Dunbartonshire,3100,3100,3000,2900,3100,4300,4600,5100,5100,4600,3600,3400,2600,2100,2000,2000
West Lothian,3900,4000,4400,4300,4300,6500,6600,7400,6100,6900,5400,5100,4000,3200,3700,2800
