Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25
Aberdeenshire,0.55,0.55,0.55,0.52,0.53,0.54,0.53,0.54,0.53,0.54
Angus,0.55,0.55,0.55,0.54,0.55,0.56,0.54,0.52,0.53,0.52
Argyll and Bute,0.58,0.58,0.57,0.57,0.57,0.56,0.55,0.56,0.55,0.56
City of Edinburgh,0.25,0.26,0.26,0.26,0.27,0.28,0.27,0.27,0.28,0.27
Clackmannanshire,0.42,0.40,0.39,0.40,0.42,0.42,0.41,0.40,0.40,0.39
Dumfries and Galloway,0.55,0.55,0.55,0.56,0.56,0.56,0.55,0.55,0.54,0.53
Dundee City,0.28,0.29,0.30,0.30,0.31,0.32,0.30,0.30,0.31,0.31
East Ayrshire,0.44,0.43,0.43,0.45,0.46,0.47,0.46,0.46,0.47,0.47
East Dunbartonshire,0.47,0.49,0.49,0.48,0.48,0.49,0.48,0.47,0.47,0.46
East Lothian,0.53,0.50,0.53,0.55,0.53,0.53,0.54,0.54,0.51,0.49
East Renfrewshire,0.53,0.54,0.54,0.54,0.56,0.55,0.53,0.53,0.52,0.53
Falkirk,0.32,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.32,0.33
Fife,0.38,0.38,0.40,0.39,0.39,0.38,0.37,0.38,0.38,0.39
Glasgow City,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.26
Highland,0.49,0.50,0.51,0.52,0.50,0.50,0.50,0.49,0.49,0.49
Inverclyde,0.31,0.30,0.31,0.31,0.30,0.30,0.31,0.32,0.32,0.31
Midlothian,0.49,0.50,0.49,0.46,0.47,0.46,0.47,0.45,0.43,0.45
Moray,0.47,0.47,0.48,0.47,0.48,0.47,0.46,0.47,0.46,0.47
Na h-Eileanan Siar,0.60,0.62,0.65,0.66,0.64,0.66,0.65,0.67,0.66,0.66
North Ayrshire,0.43,0.42,0.44,0.43,0.44,0.45,0.43,0.43,0.42,0.43
North Lanarkshire,0.29,0.29,0.30,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Orkney Islands,0.77,0.78,0.76,0.75,0.72,0.75,0.75,0.74,0.70,0.72
Perth and Kinross,0.46,0.45,0.46,0.45,0.46,0.47,0.46,0.46,0.45,0.44
Renfrewshire,0.28,0.27,0.27,0.28,0.29,0.30,0.28,0.29,0.28,0.27
Scottish Borders,0.58,0.58,0.59,0.58,0.59,0.58,0.57,0.58,0.58,0.57
Shetland Islands,0.61,0.62,0.62,0.62,0.59,0.56,0.53,0.56,0.60,0.63
South Ayrshire,0.40,0.40,0.41,0.41,0.41,0.42,0.42,0.42,0.41,0.42
South Lanarkshire,0.36,0.36,0.37,0.38,0.39,0.39,0.39,0.39,0.39,0.40
Stirling,0.41,0.39,0.40,0.40,0.40,0.40,0.40,0.39,0.38,0.37
West Dunbartonshire,0.36,0.36,0.37,0.40,0.40,0.41,0.40,0.42,0.40,0.40
West Lothian,0.28,0.28,0.28,0.29,0.30,0.30,0.29,0.30,0.30,0.31
