Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.021,0.018,0.019,0.021,0.023,0.018,0.021,0.022,0.025,0.021,0.025,0.021,0.037,0.035,0.034,0.035
Aberdeenshire,0.029,0.026,0.026,0.024,0.026,0.029,0.031,0.033,0.03,0.029,0.034,0.033,0.038,0.042,0.039,0.034
Angus,0.025,0.025,0.024,0.024,0.026,0.028,0.031,0.034,0.03,0.032,0.038,0.039,0.04,0.036,0.032,0.036
Argyll and Bute,0.031,0.027,0.028,0.028,0.029,0.032,0.03,0.034,0.035,0.036,0.036,0.035,0.036,0.036,0.043,0.042
City of Edinburgh,0.024,0.026,0.025,0.025,0.026,0.026,0.03,0.026,0.03,0.031,0.029,0.037,0.042,0.034,0.031,0.037
Clackmannanshire,,,0.041,0.049,,,,,0.065,,0.058,0.038,0.052,,,0.046
Dumfries and Galloway,0.024,0.024,0.027,0.029,0.032,0.026,0.027,0.033,0.033,0.034,0.032,0.031,0.037,0.038,0.046,0.04
Dundee City,0.016,0.016,0.017,0.02,0.022,0.024,0.02,0.023,0.024,0.02,0.02,0.025,0.03,0.036,0.029,0.034
East Ayrshire,0.02,0.016,0.02,0.025,0.027,0.025,0.026,0.026,0.028,0.028,0.029,0.028,0.036,0.037,0.03,0.037
East Dunbartonshire,0.019,0.02,0.02,0.021,0.024,0.032,0.027,0.031,0.031,0.033,0.035,0.033,0.036,0.032,0.033,0.03
East Lothian,0.028,0.026,0.027,0.028,0.028,0.027,0.029,0.035,0.034,0.036,0.04,0.037,0.036,0.039,0.034,0.03
East Renfrewshire,0.028,0.024,0.022,0.025,0.025,0.027,0.024,0.032,0.029,0.033,0.034,0.033,0.035,0.04,0.035,0.036
Falkirk,0.021,0.02,0.02,0.019,0.019,0.023,0.023,0.022,0.022,0.026,0.027,0.027,0.03,0.032,0.023,0.033
Fife,0.02,0.024,0.025,0.023,0.024,0.026,0.024,0.025,0.025,0.026,0.033,0.031,0.032,0.032,0.029,0.033
Glasgow City,0.019,0.016,0.018,0.021,0.021,0.023,0.017,0.022,0.03,0.026,0.03,0.029,0.029,0.03,0.024,0.027
Highland,0.03,0.032,0.033,0.033,0.032,0.029,0.028,0.031,0.036,0.039,0.036,0.034,0.039,0.035,0.037,0.04
Inverclyde,,0.016,0.021,0.02,0.018,0.025,0.027,0.026,0.028,0.024,0.023,0.036,0.029,0.028,0.027,
Midlothian,0.018,0.022,0.026,0.029,0.028,0.033,0.029,0.027,0.031,0.034,0.037,0.035,0.043,0.026,0.028,0.034
Moray,0.032,0.027,0.025,0.027,0.028,0.033,0.034,0.031,0.032,0.031,0.032,0.036,0.041,0.043,0.048,0.042
Na h-Eileanan Siar,,,,0.057,,,,,0.067,0.065,0.056,0.06,0.047,,0.045,0.049
North Ayrshire,0.017,0.019,0.019,0.021,0.019,0.021,0.026,0.029,0.031,0.034,0.029,0.034,0.039,0.033,0.033,0.031
North Lanarkshire,0.016,0.017,0.02,0.022,0.029,0.022,0.022,0.021,0.022,0.025,0.022,0.023,0.027,0.023,0.025,0.022
Orkney Islands,0.051,0.072,,0.065,,,0.061,0.069,0.076,0.083,0.085,,0.082,0.09,,
Perth and Kinross,0.026,0.024,0.025,0.025,0.025,0.028,0.028,0.031,0.031,0.033,0.035,0.039,0.044,0.038,0.037,0.044
Renfrewshire,0.017,0.017,0.015,0.015,0.014,0.019,0.024,0.026,0.023,0.025,0.022,0.025,0.024,0.028,0.032,0.028
Scottish Borders,0.024,0.026,0.026,0.029,0.031,0.032,0.035,0.038,0.036,0.035,0.034,0.038,0.043,0.04,0.041,0.044
Shetland Islands,0.057,,,,0.055,,0.053,,,,,,,,,
South Ayrshire,0.024,0.023,0.024,0.024,0.026,0.026,0.029,0.032,0.033,0.033,0.032,0.032,0.033,0.037,0.039,0.04
South Lanarkshire,0.02,0.023,0.023,0.019,0.022,0.021,0.022,0.024,0.025,0.023,0.025,0.029,0.031,0.024,0.034,0.036
Stirling,0.029,0.032,0.029,0.033,0.027,0.03,0.035,0.039,0.041,0.036,0.033,0.03,0.035,0.037,0.033,0.032
West Dunbartonshire,0.015,,0.014,0.018,0.02,0.022,0.023,0.021,0.02,0.021,0.027,0.023,0.024,0.022,,0.024
West Lothian,0.019,0.019,0.022,0.022,0.019,0.025,0.028,0.024,0.029,0.023,0.022,0.021,0.025,0.032,0.033,0.035
