Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,46,42,41,37,37,40,40,40,46,45,45,63,77,89,56
Aberdeenshire,39,34,32,30,33,39,33,36,47,38,42,48,57,56,47
Angus,28,26,26,23,25,29,31,28,32,30,29,33,39,38,35
Argyll and Bute,38,37,31,32,35,40,36,34,43,40,34,37,37,40,36
City of Edinburgh,47,41,38,38,38,44,44,39,45,43,44,54,52,59,53
Clackmannanshire,28,25,29,21,28,29,29,28,30,27,27,34,32,34,33
Dumfries and Galloway,28,30,30,23,32,29,34,32,33,25,29,31,29,31,25
Dundee City,31,25,26,24,24,26,30,24,30,28,31,36,,38,36
East Ayrshire,31,27,24,23,26,27,26,28,29,25,27,31,29,37,33
East Dunbartonshire,34,30,25,25,25,31,33,32,37,29,36,36,34,39,37
East Lothian,32,31,27,27,27,31,29,26,30,31,31,32,33,34,34
East Renfrewshire,38,35,27,31,29,36,39,32,36,33,33,44,37,44,44
Falkirk,26,29,23,22,21,26,29,26,29,28,28,33,34,36,34
Fife,31,27,25,23,25,29,30,25,30,26,28,32,33,39,39
Glasgow City,46,41,38,35,38,46,46,42,53,43,47,53,55,58,57
Highland,40,39,34,32,35,39,40,33,40,37,38,45,47,46,39
Inverclyde,25,21,17,20,24,26,29,18,27,25,24,31,32,30,34
Midlothian,26,26,25,25,26,29,28,25,30,27,29,33,31,34,34
Moray,28,31,23,25,28,28,25,27,31,28,28,30,35,35,32
Na h-Eileanan Siar,32,29,31,25,29,31,33,30,37,28,28,44,33,40,40
North Ayrshire,28,25,24,23,24,25,27,23,29,25,27,31,31,34,33
North Lanarkshire,25,23,21,19,24,27,28,23,28,26,29,33,33,36,34
Orkney Islands,37,31,39,33,32,38,31,34,42,22,28,36,35,33,24
Perth and Kinross,41,38,36,35,34,40,36,35,40,38,39,40,36,42,35
Renfrewshire,33,32,28,26,25,32,33,29,34,31,31,39,39,42,39
Scottish Borders,39,35,33,29,36,41,35,32,37,34,37,41,36,39,32
Shetland Islands,37,28,34,28,28,46,19,27,29,37,37,37,34,48,37
South Ayrshire,34,33,32,30,31,36,34,30,35,32,31,35,37,45,36
South Lanarkshire,34,29,26,26,27,34,34,31,34,33,32,35,38,40,41
Stirling,41,44,36,33,39,42,46,44,48,37,41,46,45,57,44
West Dunbartonshire,17,18,18,16,17,17,22,18,26,23,27,30,32,31,33
West Lothian,30,31,28,25,29,32,34,30,34,28,31,33,36,39,36
