Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,480,520,560,585,605,625,620,615,650,725
Aberdeenshire,130,140,165,175,195,195,200,200,225,240
Angus,55,60,70,70,75,70,70,70,75,80
Argyll and Bute,55,50,50,55,55,55,50,50,60,65
City of Edinburgh,510,515,550,530,560,575,580,610,705,765
Clackmannanshire,30,30,35,30,30,30,40,35,40,45
Dumfries and Galloway,100,90,90,95,100,110,110,110,125,140
Dundee City,155,150,165,160,160,165,160,170,180,190
East Ayrshire,60,65,75,75,75,75,65,75,85,90
East Dunbartonshire,45,40,45,55,55,50,45,50,50,55
East Lothian,45,45,45,50,45,45,50,55,60,70
East Renfrewshire,30,30,30,35,35,30,30,35,40,40
Falkirk,135,140,150,145,155,150,150,155,165,170
Fife,155,160,175,175,180,175,190,190,220,235
Glasgow City,545,560,595,600,600,610,610,625,665,710
Highland,180,185,210,215,220,225,225,245,275,285
Inverclyde,50,55,60,55,55,70,70,65,70,65
Midlothian,45,45,50,55,60,60,60,65,65,75
Moray,55,60,60,65,65,70,70,80,80,85
Na h-Eileanan Siar,10,15,15,15,15,15,20,15,20,20
North Ayrshire,80,80,85,85,90,90,85,85,90,100
North Lanarkshire,235,240,265,265,270,275,270,280,310,340
Orkney Islands,15,15,15,15,20,20,20,20,20,25
Perth and Kinross,115,115,120,120,120,125,135,140,165,180
Renfrewshire,190,195,215,225,235,225,225,235,245,260
Scottish Borders,65,70,75,70,70,65,70,70,80,85
Shetland Islands,25,20,20,20,25,25,25,25,25,25
South Ayrshire,105,120,135,135,130,125,125,140,140,145
South Lanarkshire,205,210,210,210,205,205,205,215,245,250
Stirling,110,115,120,125,125,130,120,130,140,155
West Dunbartonshire,60,65,70,70,70,70,70,80,80,80
West Lothian,205,205,220,220,235,225,210,210,240,255
