Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aberdeen City,22.99,29.98,27.92,26.19,36.72,37.51,52.98,54.02,44.09,35.46,71.17,66.22,106.74,158.45,158.12,142.25,123.67,134.39
Aberdeenshire,4.66,6.26,4.69,4.44,7.33,5.82,6.67,9.96,34.75,29.07,33.96,19.61,16.70,22.27,19.72,24.16,36.67,36.82
Angus,0.80,,1.54,2.15,1.96,1.47,2.52,1.24,1.89,3.20,2.16,2.31,2.36,2.98,3.09,3.60,6.46,4.46
Argyll and Bute,1.23,1.00,0.87,,0.56,0.48,0.53,1.56,1.55,2.42,2.95,,,,1.48,1.72,1.84,1.94
City of Edinburgh,197.71,139.15,130.29,101.19,103.27,106.46,147.55,116.08,136.20,146.09,150.66,178.45,195.02,276.32,254.09,279.86,397.53,471.59
Clackmannanshire,,,,,0.72,0.66,0.93,0.19,,0.77,2.94,,0.52,2.17,1.96,2.46,2.34,2.52
Dumfries and Galloway,0.99,1.79,3.39,1.71,2.26,2.98,3.11,1.97,1.88,2.79,4.53,4.86,4.95,4.96,4.91,5.79,6.69,6.73
Dundee City,46.47,55.49,40.05,48.81,42.21,42.20,43.41,45.14,43.71,33.59,35.05,34.89,35.16,35.02,40.91,61.08,38.70,47.50
East Ayrshire,1.55,1.35,0.98,1.60,1.98,2.03,1.53,1.65,1.28,1.02,1.19,1.08,1.29,1.79,,3.53,3.16,2.64
East Dunbartonshire,0.75,1.15,1.20,0.77,0.77,1.01,,0.36,,,1.12,1.39,1.15,1.21,1.87,2.21,1.90,
East Lothian,,,,,4.00,5.53,,1.11,1.88,1.49,,,1.95,3.07,5.15,4.31,5.99,7.71
East Renfrewshire,,,,,1.44,,0.91,,,1.88,2.49,2.68,2.95,2.90,2.82,3.18,3.59,3.56
Falkirk,,12.76,12.57,9.76,7.04,3.84,10.38,6.70,3.59,5.66,5.42,8.36,6.64,8.42,4.45,12.16,10.40,10.36
Fife,11.36,13.87,9.63,20.00,23.74,18.03,20.07,22.05,19.72,26.61,27.99,31.17,27.21,23.23,24.28,30.04,29.45,45.18
Glasgow City,12.92,19.32,17.17,25.28,25.77,23.72,23.92,31.36,43.90,40.80,66.27,59.83,82.83,77.23,89.39,115.45,204.08,182.46
Highland,,11.85,,,,,23.32,30.00,,29.19,44.02,36.47,32.05,28.18,27.13,30.36,22.71,19.23
Inverclyde,,,,,,,,,7.19,,7.83,5.23,4.61,4.41,4.04,3.30,3.37,4.41
Midlothian,6.79,23.50,21.29,3.59,2.39,1.78,11.30,19.83,16.61,17.08,13.05,12.55,19.21,30.00,25.20,23.69,18.13,20.63
Moray,0.19,0.67,0.51,0.67,0.95,0.66,0.88,0.94,1.13,3.39,3.75,3.46,3.69,2.24,1.88,1.64,3.02,3.12
Na h-Eileanan Siar,,,,,,,,,,,,,,,,,,
North Ayrshire,2.47,0.70,0.77,1.80,0.86,0.93,2.56,1.81,2.99,2.34,2.77,3.76,3.02,3.12,4.35,4.95,5.16,5.37
North Lanarkshire,43.47,54.95,49.38,46.66,65.53,64.10,73.21,80.28,108.21,93.30,48.90,58.12,53.08,62.47,63.88,77.04,63.97,65.99
Orkney Islands,,,,,,,,,1.19,1.71,1.08,2.00,,,,,,1.76
Perth and Kinross,0.59,0.78,0.52,0.67,0.99,0.96,1.30,0.72,1.33,1.99,4.32,4.83,2.11,10.69,8.11,8.49,6.58,6.81
Renfrewshire,11.18,12.44,9.56,10.12,14.13,11.82,21.92,23.40,27.39,32.53,33.57,23.18,26.70,29.12,19.64,26.69,28.33,31.80
Scottish Borders,1.47,1.22,1.32,4.46,1.44,1.91,12.15,4.78,4.56,7.05,5.84,7.57,6.93,5.98,7.16,7.28,7.39,7.00
Shetland Islands,,,,,,,,,,0.25,0.34,0.20,,,,,,
South Ayrshire,,1.15,,0.63,1.13,0.73,1.98,2.58,9.72,5.05,5.44,7.53,6.73,5.94,5.65,8.68,9.45,12.29
South Lanarkshire,25.61,39.87,33.28,28.05,41.89,36.21,27.61,25.74,22.94,16.06,19.47,20.12,17.44,19.87,18.71,29.64,21.99,22.66
Stirling,1.16,2.27,1.97,1.79,2.44,1.77,3.65,4.90,6.01,10.62,6.92,8.32,4.56,5.27,4.88,7.15,8.78,10.10
West Dunbartonshire,,4.42,,2.46,3.19,2.53,2.20,2.45,3.04,,5.14,3.75,8.19,5.57,10.45,19.12,15.96,
West Lothian,59.72,54.62,,56.81,,44.63,40.66,52.00,50.19,52.17,83.24,95.57,124.55,121.01,135.61,110.24,159.96,162.43
