Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,175,185,190,205,215,220,250,250,240,280
Aberdeenshire,40,40,55,65,60,65,80,75,75,90
Angus,25,25,30,30,30,30,35,35,35,35
Argyll and Bute,20,20,20,20,20,20,20,20,25,25
City of Edinburgh,210,210,215,215,230,235,250,260,295,315
Clackmannanshire,15,15,15,15,15,15,20,20,20,20
Dumfries and Galloway,40,35,35,40,45,45,50,45,50,55
Dundee City,65,55,55,55,60,60,70,70,75,80
East Ayrshire,30,25,30,30,35,35,30,35,45,50
East Dunbartonshire,20,15,15,20,15,20,20,20,20,25
East Lothian,25,20,25,25,25,25,25,25,35,35
East Renfrewshire,15,15,15,15,15,15,15,15,20,20
Falkirk,65,60,65,70,70,70,70,70,75,85
Fife,60,65,70,75,75,70,80,80,90,100
Glasgow City,225,235,240,250,255,255,265,265,270,295
Highland,80,75,80,90,85,95,95,110,115,130
Inverclyde,15,15,15,15,20,20,25,25,25,20
Midlothian,25,20,20,20,25,25,30,30,30,35
Moray,30,25,25,30,25,30,35,35,35,35
Na h-Eileanan Siar,0,5,5,5,5,5,10,10,10,10
North Ayrshire,40,40,40,40,45,40,45,40,40,45
North Lanarkshire,105,105,110,120,125,130,130,145,150,170
Orkney Islands,5,10,10,10,10,10,10,10,10,15
Perth and Kinross,50,45,45,50,50,55,55,70,65,75
Renfrewshire,85,80,85,90,100,100,105,100,100,110
Scottish Borders,35,35,35,35,35,35,35,30,30,35
Shetland Islands,15,10,10,15,10,10,15,10,15,15
South Ayrshire,40,50,50,55,50,50,55,60,55,60
South Lanarkshire,85,90,85,85,90,90,95,100,105,120
Stirling,50,50,40,45,50,55,55,55,60,65
West Dunbartonshire,30,30,25,25,25,25,30,35,30,30
West Lothian,90,85,90,95,95,85,85,90,95,105
