Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,0.74,0.77,0.8,0.78,0.78,0.78,0.78,0.75,0.77,0.76,0.75,0.77,0.7,0.76,0.74,0.79
Aberdeenshire,0.78,0.78,0.79,0.81,0.8,0.8,0.81,0.8,0.8,0.79,0.81,0.81,0.78,0.82,0.8,0.81
Angus,0.74,0.75,0.78,0.77,0.77,0.74,0.73,0.72,0.74,0.74,0.72,0.74,0.78,0.75,0.76,0.76
Argyll and Bute,0.75,0.76,0.79,0.77,0.76,0.73,0.72,0.71,0.7,0.75,0.77,0.75,0.78,0.76,0.77,0.75
City of Edinburgh,0.74,0.75,0.75,0.75,0.75,0.72,0.7,0.71,0.72,0.71,0.74,0.73,0.72,0.76,0.77,0.75
Clackmannanshire,0.7,0.71,0.7,0.67,0.7,0.7,0.76,0.66,0.66,0.66,0.67,0.72,0.68,0.73,0.75,0.74
Dumfries and Galloway,0.76,0.76,0.77,0.74,0.74,0.75,0.73,0.69,0.67,0.7,0.72,0.75,0.75,0.77,0.72,0.75
Dundee City,0.66,0.7,0.7,0.7,0.69,0.68,0.69,0.66,0.65,0.61,0.62,0.64,0.54,0.66,0.67,0.69
East Ayrshire,0.69,0.68,0.71,0.7,0.72,0.67,0.7,0.67,0.67,0.68,0.69,0.7,0.66,0.71,0.69,0.74
East Dunbartonshire,0.78,0.78,0.79,0.77,0.75,0.75,0.74,0.74,0.73,0.77,0.73,0.75,0.76,0.75,0.78,0.78
East Lothian,0.74,0.77,0.77,0.77,0.75,0.75,0.71,0.73,0.75,0.76,0.74,0.75,0.73,0.77,0.81,0.79
East Renfrewshire,0.77,0.77,0.76,0.75,0.75,0.73,0.72,0.73,0.73,0.74,0.75,0.74,0.77,0.75,0.74,0.73
Falkirk,0.74,0.74,0.76,0.76,0.77,0.73,0.72,0.72,0.73,0.74,0.73,0.74,0.77,0.75,0.76,0.74
Fife,0.75,0.74,0.74,0.74,0.74,0.71,0.72,0.71,0.7,0.7,0.74,0.73,0.72,0.75,0.75,0.74
Glasgow City,0.63,0.64,0.63,0.65,0.65,0.62,0.61,0.63,0.59,0.63,0.64,0.67,0.68,0.66,0.64,0.67
Highland,0.81,0.79,0.78,0.8,0.79,0.82,0.79,0.78,0.77,0.74,0.77,0.81,0.77,0.81,0.81,0.79
Inverclyde,0.67,0.69,0.7,0.67,0.71,0.67,0.71,0.67,0.65,0.69,0.69,0.68,0.7,0.73,0.74,0.68
Midlothian,0.78,0.77,0.79,0.79,0.78,0.76,0.73,0.75,0.75,0.72,0.75,0.75,0.76,0.8,0.79,0.80
Moray,0.76,0.75,0.77,0.78,0.8,0.78,0.8,0.79,0.78,0.79,0.77,0.73,0.76,0.75,0.73,0.75
Na h-Eileanan Siar,0.78,0.79,0.78,0.78,0.77,0.71,0.69,0.64,0.71,0.72,0.77,0.78,0.78,0.81,0.79,0.82
North Ayrshire,0.65,0.7,0.69,0.69,0.69,0.65,0.63,0.61,0.62,0.6,0.7,0.64,0.64,0.68,0.7,0.71
North Lanarkshire,0.69,0.69,0.72,0.72,0.69,0.72,0.69,0.68,0.7,0.7,0.71,0.71,0.75,0.74,0.75,0.74
Orkney Islands,0.83,0.83,0.81,0.84,0.82,0.85,0.8,0.79,0.81,0.81,0.89,0.87,0.86,0.88,0.88,0.87
Perth and Kinross,0.76,0.75,0.77,0.76,0.76,0.75,0.74,0.75,0.75,0.76,0.76,0.79,0.77,0.77,0.78,0.83
Renfrewshire,0.73,0.73,0.75,0.73,0.73,0.72,0.69,0.67,0.72,0.72,0.72,0.74,0.75,0.76,0.75,0.77
Scottish Borders,0.78,0.76,0.77,0.79,0.78,0.75,0.71,0.73,0.73,0.75,0.78,0.76,0.74,0.74,0.74,0.76
Shetland Islands,0.85,0.84,0.83,0.86,0.86,0.85,0.86,0.81,0.8,0.83,0.81,0.87,0.87,0.83,0.82,0.78
South Ayrshire,0.72,0.71,0.72,0.74,0.73,0.71,0.67,0.66,0.7,0.72,0.72,0.73,0.72,0.74,0.7,0.74
South Lanarkshire,0.73,0.72,0.75,0.77,0.74,0.72,0.71,0.72,0.75,0.72,0.74,0.76,0.75,0.75,0.76,0.77
Stirling,0.75,0.74,0.74,0.75,0.74,0.73,0.7,0.71,0.67,0.72,0.75,0.7,0.73,0.73,0.72,0.73
West Dunbartonshire,0.69,0.69,0.71,0.72,0.7,0.68,0.67,0.68,0.67,0.65,0.67,0.69,0.71,0.72,0.72,0.74
West Lothian,0.77,0.75,0.77,0.75,0.77,0.73,0.73,0.72,0.74,0.73,0.77,0.73,0.76,0.78,0.76,0.78
