Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,176611,177816,179243,180031,180609,180059,179695,178847,178456,177668,177220,176513,175649,174970,176235,177405,180207,181771,184849,187348,190228,192024,193939,195409,196499,195653,194305,192727,193247
Aberdeenshire,166751,170272,172873,174864,175725,177079,176636,177188,178506,178947,179368,181588,184356,187809,190714,194157,197318,199679,201740,204194,206147,207808,209658,211861,213104,213319,212912,212437,212194
Angus,86886,88105,88829,89351,89471,88729,88430,88447,88363,88095,87993,88433,88402,89701,90688,91745,92881,93875,94314,95019,95988,96241,96533,97064,97247,97075,96992,96787,97055
Argyll and Bute,74739,73457,73072,73796,73961,74015,74174,74163,74286,73936,74248,74328,74525,74431,74471,75330,75431,74899,74692,74105,74570,72852,74236,74075,73598,73892,73647,73236,72964
City of Edinburgh,363082,362381,362585,363317,366562,367915,369165,370570,371990,373697,375791,375120,373922,375443,379812,382618,386811,389236,392991,398671,405441,409217,413020,417281,422702,429806,435158,439999,445863
Clackmannanshire,37788,37840,37898,38068,38050,38118,38194,38110,38017,38030,38097,38315,38559,39202,39653,40158,41056,41533,41728,41871,42198,42112,42100,42103,42331,42326,42430,42420,42594
Dumfries and Galloway,118391,118854,118837,118930,119320,119469,119586,119818,119563,119308,120030,120424,121086,122302,123279,123664,124396,125171,125496,125796,126333,126222,126015,126033,125994,125906,125713,125366,125617
Dundee City,125989,125235,124109,122429,122853,123045,122843,121853,120791,120078,119773,119032,,118682,119278,119381,119944,120435,121268,122131,123489,124060,124347,124414,124412,124421,124712,124734,125276
East Ayrshire,98238,98037,97691,97324,97058,96599,96318,96151,96040,95968,96403,96480,96815,97310,97701,98161,98881,99620,100249,100736,101135,101171,101050,100961,100869,100941,100776,100721,100957
East Dunbartonshire,86501,86261,86077,86352,86747,86371,86496,86363,86211,86449,86284,85883,85908,85805,85694,85550,85438,85653,85941,86187,86380,87398,87514,88326,88416,88730,89069,89106,89242
East Lothian,68024,67992,68183,68758,69131,69251,69704,70100,70581,71159,71415,72354,73185,73758,74338,75349,76952,78859,79718,80589,81244,82087,82661,83283,84135,85101,85789,86440,87390
East Renfrewshire,67263,67496,67810,67948,68658,68564,68954,69185,69363,69916,70244,70869,71100,71127,71369,71426,71673,71843,72076,72589,72885,73173,73515,74204,74559,75148,75731,75848,76005
Falkirk,114165,114001,113687,113651,113977,114460,114836,115387,116001,116101,116962,117946,118812,120337,121990,122977,124240,125066,125964,126678,127852,128384,128851,129402,130142,131021,131801,132110,132778
Fife,276012,276510,277428,277800,277729,276454,276333,276952,277676,279295,281232,283453,285123,287478,290267,292473,294119,295526,296813,298058,300815,301842,302714,303180,303999,305958,307077,307437,308998
Glasgow City,509365,502344,496644,492215,485626,481940,475855,473384,471267,467892,472368,471708,469149,467980,469527,470256,474111,479098,485058,490220,497236,498813,500073,502931,508808,516583,521883,526472,532454
Highland,160085,161814,162889,163469,164665,165328,166048,166583,167093,167590,168031,169349,171539,174298,177573,180170,183224,185886,187433,189444,191396,192002,192400,192954,194154,194798,195625,196205,196794
Inverclyde,72433,72014,71199,70695,70199,69130,68850,68537,68217,67892,67844,67812,67702,67427,67537,67495,67573,67729,67617,67641,67546,67288,67099,66747,66534,66309,66059,65522,65197
Midlothian,62661,62400,62485,62460,62330,62492,62911,63393,63719,64080,63957,64260,64006,64297,64347,64490,64994,66164,66384,66832,67797,68312,68649,69855,70766,71726,72861,73750,74507
Moray,66329,67585,68507,69548,69616,69274,69089,68829,69003,69084,69512,70457,71541,72223,73127,74004,74630,76036,76234,76751,76551,76256,77749,78179,79008,79543,79418,79347,79675
Na h-Eileanan Siar,23071,23058,23127,23085,22939,22826,22389,22157,21946,21651,21496,21450,21528,21772,22090,22282,22445,22563,22668,22925,23035,22991,22940,22819,22722,22593,22583,22502,22466
North Ayrshire,108216,108206,108166,108012,108448,108619,108972,109195,109117,108626,108674,109109,109721,110356,110951,111234,112089,112655,112758,113123,113680,113399,113265,113111,112934,112762,112889,112500,112272
North Lanarkshire,255439,254957,253681,253511,253745,253572,254288,254592,254967,254910,255714,257322,258779,260757,262516,264266,266479,268608,270310,271516,272973,273434,273840,274445,275129,276091,276949,277225,278534
Orkney Islands,15338,15432,15466,15530,15558,15556,15601,15527,15456,15396,15405,15512,15760,16070,16305,16630,16907,17083,17290,17580,17823,17958,18034,18072,18181,18334,18455,18646,18688
Perth and Kinross,102626,104123,104967,106241,107209,107247,108086,108597,109214,109311,109394,109996,110996,111934,113078,114250,115940,117865,119164,120487,121743,122773,123130,124468,125311,126166,126647,126865,127529
Renfrewshire,140380,139903,139624,139726,140549,140815,140633,140319,139779,139428,139333,139311,139358,139604,139582,139742,140529,141435,142211,143059,144105,143902,143777,144257,144729,145976,146791,147619,148833
Scottish Borders,84256,84829,85151,85375,85751,85700,85794,85879,85717,86127,86765,87423,88293,89385,90131,90918,92197,93288,93736,94060,94550,94585,94850,94971,95055,95528,95994,96224,96487
Shetland Islands,17263,17330,17505,17550,17713,17691,17693,17601,17491,17258,17176,17253,17296,17461,17623,17698,17861,18054,18351,18575,18765,18807,18843,18913,18946,18967,18847,18785,18722
South Ayrshire,91244,91377,91570,91802,92099,92163,92395,92264,91869,91666,91905,91821,91992,92569,92840,93156,93461,93702,93785,94110,94546,94659,94796,94697,94602,94710,94964,94912,95002
