Area,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,4.7,3.9,4.1,4.4,3.6,4,4.4,3.9,4.4,3.9,4.6,4.2
Aberdeenshire,5.3,4.5,4.7,4.9,4.6,4.8,5.1,4.5,4.1,3.8,4.4,4.9
Angus,7.9,6.8,6,5,7.4,6.4,6.9,6.3,5.7,6.2,4.8,4.1
Argyll and Bute,8.2,8.6,7.1,7.4,11,7.9,8.5,6.4,8,5.6,8.5,8.6
City of Edinburgh,3.6,3,2.9,2.8,3,2.4,2.7,2.7,2.8,3,3,3.3
Clackmannanshire,11,9.2,8.1,7.8,7.9,7.1,8.2,7.6,8.7,7.9,8.6,9.9
Dumfries and Galloway,7.9,5.2,5.5,6.6,6.6,5.3,5.3,5.4,5.8,6.6,4.9,5.3
Dundee City,5.7,5.9,4.9,5.8,6,5.6,4.9,5.4,4.8,4.9,5.1,4.3
East Ayrshire,7.6,6.3,6.4,5.6,5.6,6.7,6,5.2,5.7,5.6,5.9,6.6
East Dunbartonshire,7.3,6.9,5.5,6.2,6.3,4.8,5.7,4.7,5.6,4.8,5,5.4
East Lothian,6.8,6.2,6.9,6.5,5.5,6.4,6.3,4.6,7.1,5.9,6.2,6.6
East Renfrewshire,7,7.9,6.2,6.8,7.9,6.8,4.7,5.2,7.2,7.8,5,5.8
Falkirk,5.9,5,5.5,4.9,4.9,4.6,4.1,4.5,4.1,4.6,4.3,3.6
Fife,3.9,3.9,4.2,4.2,4.1,3.3,3.8,3.7,3.4,3.7,3.7,3.2
Glasgow City,3.4,2.7,2.8,3,2.7,2.6,2.5,2.5,2.8,2.4,2.7,2.5
Highland,5.1,3.5,3.6,3.6,3.8,3.6,4.2,4.8,3.9,4.1,3.3,3.4
Inverclyde,5.6,7.3,6.7,6.7,7.2,8.8,7.7,6.4,6.5,6.9,8.4,8.2
Midlothian,7.1,6.1,6.3,6,7.6,5.8,6,6.3,6.6,5.3,6.4,5
Moray,7.8,6.7,9.9,8.6,9.9,10,8.6,9.3,9.1,7.6,9.2,11
Na h-Eileanan Siar,16,12,7.4,12,12,11,11,9.5,9.8,9.6,9.3,8.7
North Ayrshire,7.4,6,6.1,6.1,7,6.1,4.7,5.6,5.5,4.5,4.9,4.5
North Lanarkshire,4.5,3.6,3.7,3.1,3.6,3.4,3.6,3.2,3.1,3,2.7,2.8
Orkney Islands,,13,19,18,18,18,17,16,13,15,13,12
Perth and Kinross,7,5.9,6.2,5.5,5.9,6.2,5.9,4.7,5.8,5.1,5.7,5.1
Renfrewshire,6.8,4.5,5.2,5.4,4.4,5.6,5,5.8,4.8,4.9,5,5.8
Scottish Borders,8.5,5.8,6.7,6.6,6.8,5.8,6.4,6.2,5.8,7.3,7.1,6
Shetland Islands,17,12,9.6,11,10,11,12,7.8,10,8.6,9.7,11
South Ayrshire,8.1,5.1,6.1,6.6,7.2,5.2,5.2,5.6,7.7,8,6.6,6.5
South Lanarkshire,2.9,2.9,3.7,2.8,3.4,3.9,3.9,3.4,3.4,3.3,3.1,2.7
Stirling,11,10,11,8.7,7.8,6.9,7.9,8.3,8.2,7.2,7.2,6.1
West Dunbartonshire,9.2,7.4,6.5,8.7,8.3,6.4,6.4,7.4,7.3,6.6,6.8,4.4
West Lothian,4.7,4.2,4.6,3.9,4.4,4.4,4.5,4.4,4.4,4.1,5,3.8
