Area,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aberdeen City,145243,146204,147547,148322,148724,148184,147665,146673,146182,145302,144778,144123,143332,142686,143912,145188,148037,149671,152776,155364,157979,158874,160229,161147,162073,160821,159013,157195,157090
Aberdeenshire,138410,141510,143860,145649,146255,147180,146311,146470,147341,147295,146858,148551,150519,153093,155039,157752,159977,161372,162513,164131,165016,164888,165275,166071,166393,165548,164106,162638,161121
Angus,68637,69614,70169,70625,70571,69753,69432,69344,69220,68791,68382,68618,68340,69389,70031,70808,71569,72057,72020,72311,72755,72006,71557,71419,71170,70588,70187,69499,69265
Argyll and Bute,58729,57342,56915,57558,57630,57733,57788,57738,57811,57346,57360,57252,57249,56921,56722,57337,57162,56377,55889,54990,55083,52683,53605,52959,52274,52336,51810,51276,50754
City of Edinburgh,292293,291867,292443,293597,296693,298201,299585,300917,302515,304451,306559,306160,305247,307126,311845,314961,319239,321541,325019,330297,336611,338344,340812,343499,347874,353873,358090,361939,366508
Clackmannanshire,31171,31188,31190,31249,31152,31257,31295,31216,31100,31110,31138,31255,31380,31929,32321,32808,33522,33854,33889,33793,33884,33379,33079,32775,32658,32443,32380,32193,32133
Dumfries and Galloway,92820,92930,92711,92506,92583,92446,92353,92318,91798,91288,91585,91459,91732,92516,93035,93154,93381,93500,93213,93085,93029,91877,90969,90248,89653,88999,88304,87487,87047
Dundee City,100618,99855,98765,97066,97388,97399,97058,96067,94989,94357,93991,93327,,93174,93920,94128,94703,95347,96358,97318,98831,98913,98905,98622,98554,98454,98770,98747,99209
East Ayrshire,79869,79520,78974,78588,78153,77612,77252,77052,76935,76717,77023,76985,77257,77657,77924,78213,78757,79225,79515,79593,79707,78930,78250,77754,77358,77024,76589,76168,76005
East Dunbartonshire,72641,72194,71797,71787,71836,71153,70977,70546,70072,69993,69431,68561,68155,67770,67321,66952,66605,66430,66232,66022,65761,65945,65526,65717,65404,65325,65372,65039,64766
East Lothian,53339,53218,53387,53906,54187,54310,54649,54951,55286,55739,55782,56637,57225,57706,58141,58897,60287,61934,62426,63066,63333,63508,63555,63779,64200,64703,64933,65270,65659
East Renfrewshire,55423,55471,55635,55535,55961,55706,55838,55856,55858,56161,56163,56524,56411,56298,56373,56176,56297,56247,56153,56423,56523,56267,56252,56515,56522,56795,57037,56951,56819
Falkirk,93279,92988,92641,92547,92745,93038,93264,93636,94065,93953,94525,95270,95942,97113,98538,99312,100360,100794,101306,101540,102375,101939,101665,101458,101594,101864,102271,102104,102329
Fife,222284,222380,223161,223285,222834,221308,220898,221305,221843,222950,224277,225869,227281,229179,231460,233108,234047,234459,234634,234749,236218,234689,233697,232103,231637,232300,232485,231847,231974
Glasgow City,407229,401806,397616,394555,389000,386343,380981,379543,378968,376473,381723,382113,380869,380835,383553,385401,390262,395838,402333,407854,414985,415853,416876,419385,425305,432793,437911,442207,447290
Highland,129746,130935,131649,131738,132467,132693,132914,133093,133207,133263,133241,134048,135497,137602,139926,141870,144042,145545,145924,147072,147972,146948,145850,144919,145077,144722,144586,144209,143706
Inverclyde,58143,57763,57061,56599,56132,55146,54854,54575,54237,53919,53831,53824,53649,53392,53426,53290,53320,53346,53050,52970,52709,52088,51676,51056,50643,50140,49776,49140,48689
Midlothian,52006,51682,51642,51544,51233,51271,51478,51838,52002,52176,51809,51996,51740,51840,51790,51827,52210,53135,53047,53129,53723,53602,53506,54253,54771,55334,56175,56721,57124
Moray,53549,54670,55532,56477,56411,55973,55643,55208,55157,55064,55299,56048,56915,57294,57916,58614,58892,59845,59642,59747,59181,58298,59261,59171,59619,59789,59364,58924,58959
Na h-Eileanan Siar,17653,17686,17761,17740,17655,17585,17189,16941,16726,16439,16240,16194,16235,16452,16671,16791,16897,16889,16877,17042,17014,16815,16670,16368,16161,15954,15827,15677,15571
North Ayrshire,87850,87749,87620,87467,87624,87620,87795,87850,87613,86981,86705,86810,86974,87318,87506,87554,88012,88126,87722,87583,87621,86316,85446,84614,84121,83535,83169,82426,81740
North Lanarkshire,213626,212901,211557,211152,210997,210698,211150,211075,211062,210597,211122,212299,213219,214628,215698,217018,218837,220202,220983,221560,222222,221130,220342,219661,219345,219594,219694,219221,219435
Orkney Islands,12137,12300,12336,12400,12404,12391,12426,12354,12275,12195,12182,12242,12404,12628,12720,12986,13120,13179,13259,13423,13554,13508,13474,13357,13367,13367,13382,13412,13382
Perth and Kinross,79409,80544,81330,82495,83270,83150,83777,84164,84666,84487,84300,84577,85236,85667,86396,87334,88540,89893,90710,91415,91903,91791,91396,91952,92055,92250,92132,91666,91695
Renfrewshire,115633,114991,114579,114548,115188,115141,114788,114324,113669,113153,112723,112463,112375,112393,112225,112176,112640,113142,113416,113959,114467,113337,112702,112497,112611,113311,113843,114331,114946
Scottish Borders,64724,65054,65272,65572,65869,65822,65934,65937,65827,66147,66540,67011,67589,68249,68706,69350,70272,70829,70696,70577,70590,69648,69137,68641,68307,68285,68295,68121,67871
Shetland Islands,14150,14261,14454,14533,14687,14702,14708,14634,14473,14196,14090,14121,14131,14245,14317,14324,14404,14469,14668,14836,14969,14822,14736,14676,14619,14564,14365,14230,14036
South Ayrshire,71093,71074,71155,71393,71558,71479,71569,71252,70820,70441,70381,70080,70088,70488,70474,70614,70624,70447,70142,70117,70118,69400,68969,68319,67819,67453,67184,66726,66258
South Lanarkshire,198827,198836,198630,198943,198337,198269,198153,197233,196570,196461,196745,197422,198206,199946,200794,201889,203282,203893,204129,204931,205199,203891,203383,202829,202813,202849,202763,202463,202175
Stirling,52774,52813,53146,53458,53756,54273,54953,55301,55906,56430,56137,56453,56952,56527,56890,57413,57683,57681,57544,58049,58730,58814,59004,59099,60177,60832,60838,60814,60529
West Dunbartonshire,61787,61635,61636,61393,60652,60318,60475,60307,60143,60087,59989,60140,60006,59942,59936,60063,60144,60059,59953,59781,59628,59161,58503,58267,57987,57905,57491,56998,56552
