Area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aberdeen City,0.62,0.64,0.68,0.71,0.66,0.64,0.6,0.7,0.68,0.68,0.59,0.53
Aberdeenshire,0.74,0.74,0.75,0.77,0.73,0.69,0.69,0.72,0.71,0.71,0.66,0.62
Angus,0.68,0.67,0.68,0.74,0.62,0.57,0.62,0.66,0.71,0.63,0.66,0.58
Argyll and Bute,0.71,0.64,0.72,0.69,0.58,0.59,0.57,0.63,0.63,0.66,0.64,0.59
City of Edinburgh,0.64,0.63,0.64,0.62,0.57,0.54,0.56,0.6,0.59,0.6,0.59,0.54
Clackmannanshire,0.64,0.59,0.6,0.61,0.67,0.52,0.61,0.56,0.56,0.6,0.58,0.55
Dumfries and Galloway,0.68,0.67,0.69,0.66,0.63,0.64,0.57,0.69,0.63,0.63,0.58,0.6
Dundee City,0.61,0.58,0.61,0.55,0.58,0.54,0.55,0.58,0.56,0.6,0.57,0.48
East Ayrshire,0.63,0.59,0.65,0.67,0.6,0.61,0.53,0.6,0.61,0.63,0.58,0.59
East Dunbartonshire,0.7,0.6,0.72,0.66,0.63,0.65,0.61,0.64,0.61,0.63,0.65,0.56
East Lothian,0.64,0.68,0.67,0.6,0.64,0.62,0.62,0.67,0.6,0.63,0.63,0.61
East Renfrewshire,0.55,0.62,0.66,0.68,0.6,0.67,0.6,0.61,0.66,0.64,0.6,0.59
Falkirk,0.58,0.63,0.68,0.65,0.61,0.58,0.54,0.61,0.6,0.59,0.63,0.56
Fife,0.64,0.63,0.68,0.66,0.6,0.59,0.57,0.63,0.63,0.62,0.62,0.58
Glasgow City,0.59,0.59,0.6,0.6,0.53,0.55,0.49,0.55,0.54,0.57,0.55,0.51
Highland,0.67,0.67,0.68,0.67,0.67,0.66,0.63,0.65,0.66,0.69,0.65,0.61
Inverclyde,0.71,0.64,0.61,0.63,0.66,0.66,0.46,0.64,0.66,0.6,0.6,0.56
Midlothian,0.65,0.63,0.69,0.63,0.67,0.64,0.59,0.65,0.63,0.63,0.69,0.61
Moray,0.71,0.71,0.69,0.62,0.71,0.65,0.6,0.64,0.65,0.65,0.63,0.63
Na h-Eileanan Siar,0.67,0.61,0.64,0.73,0.61,0.5,0.46,0.63,0.63,0.68,0.52,0.5
North Ayrshire,0.64,0.64,0.63,0.65,0.66,0.62,0.59,0.65,0.64,0.63,0.62,0.57
North Lanarkshire,0.63,0.65,0.62,0.6,0.57,0.59,0.56,0.61,0.6,0.59,0.58,0.53
Orkney Islands,0.67,0.72,0.75,0.54,0.64,0.62,0.6,0.71,0.75,0.71,0.64,0.67
Perth and Kinross,0.66,0.65,0.66,0.65,0.64,0.65,0.6,0.6,0.62,0.6,0.66,0.58
Renfrewshire,0.58,0.61,0.64,0.68,0.58,0.56,0.55,0.61,0.61,0.57,0.59,0.55
Scottish Borders,0.68,0.7,0.68,0.64,0.65,0.67,0.59,0.67,0.67,0.65,0.62,0.59
Shetland Islands,0.82,0.67,0.69,0.67,0.8,0.78,0.7,0.69,0.67,0.71,0.75,0.56
South Ayrshire,0.65,0.58,0.65,0.66,0.58,0.6,0.48,0.6,0.61,0.64,0.55,0.5
South Lanarkshire,0.65,0.62,0.65,0.64,0.61,0.61,0.58,0.62,0.61,0.61,0.63,0.56
Stirling,0.63,0.66,0.68,0.64,0.65,0.61,0.62,0.66,0.69,0.64,0.62,0.56
West Dunbartonshire,0.62,0.63,0.59,0.7,0.61,0.61,0.59,0.57,0.63,0.54,0.53,0.51
West Lothian,0.62,0.65,0.67,0.65,0.59,0.58,0.57,0.65,0.59,0.61,0.64,0.54
